date,open,high,low,close,volume,adjusted,symbol,return
1957-08-02,47.68,47.68,47.68,47.68,1610000,47.68,sp500,-0.00230175764172924
1957-08-05,47.259998,47.259998,47.259998,47.259998,1790000,47.259998,sp500,-0.00880876677852338
1957-08-06,46.669998,46.669998,46.669998,46.669998,1910000,46.669998,sp500,-0.0124841308711017
1957-08-07,47.029999,47.029999,47.029999,47.029999,2460000,47.029999,sp500,0.00771375649084005
1957-08-08,46.900002,46.900002,46.900002,46.900002,1690000,46.900002,sp500,-0.00276412933795711
1957-08-09,46.919998,46.919998,46.919998,46.919998,1570000,46.919998,sp500,0.000426353926381573
1957-08-12,46.330002,46.330002,46.330002,46.330002,1650000,46.330002,sp500,-0.0125745103399194
1957-08-13,46.299999,46.299999,46.299999,46.299999,1580000,46.299999,sp500,-0.000647593324084039
1957-08-14,45.73,45.73,45.73,45.73,2040000,45.73,sp500,-0.0123109937864146
1957-08-15,45.75,45.75,45.75,45.75,2040000,45.75,sp500,0.000437349661054132
1957-08-16,45.830002,45.830002,45.830002,45.830002,1470000,45.830002,sp500,0.00174867759562836
1957-08-19,44.91,44.91,44.91,44.91,2040000,44.91,sp500,-0.0200742299771229
1957-08-20,45.290001,45.290001,45.290001,45.290001,2700000,45.290001,sp500,0.00846138944555785
1957-08-21,45.490002,45.490002,45.490002,45.490002,1720000,45.490002,sp500,0.00441600785126939
1957-08-22,45.16,45.16,45.16,45.16,1500000,45.16,sp500,-0.00725438526030398
1957-08-23,44.509998,44.509998,44.509998,44.509998,1960000,44.509998,sp500,-0.014393312666076
1957-08-26,43.889999,43.889999,43.889999,43.889999,2680000,43.889999,sp500,-0.0139294322143083
1957-08-27,44.610001,44.610001,44.610001,44.610001,2250000,44.610001,sp500,0.0164046939258302
1957-08-28,44.639999,44.639999,44.639999,44.639999,1840000,44.639999,sp500,0.000672450108216927
1957-08-29,44.459999,44.459999,44.459999,44.459999,1630000,44.459999,sp500,-0.00403225815484454
